seed,model,auroc,auprc,prevalence,n_test,n_pos_test
1,expr_only,0.634165831782835,0.173243248613865,0.0851419031719533,3594,306
1,expr_loeuf,0.521214994513621,0.0728585470901323,0.0851419031719533,3594,306
1,expr_loeuf_paralog,0.832250966079877,0.386363720040217,0.0851419031719533,3594,306
1,full_v1,0.880070925369332,0.491024876899006,0.0851419031719533,3594,306
2,expr_only,0.846507075502462,0.331927986503925,0.0843071786310517,3594,303
2,expr_loeuf,0.80780466378453,0.321254982875125,0.0843071786310517,3594,303
2,expr_loeuf_paralog,0.842039445512488,0.355301742027914,0.0843071786310517,3594,303
2,full_v1,0.88108984098048,0.445062911053251,0.0843071786310517,3594,303
3,expr_only,0.836063066072217,0.383080960060115,0.0876460767946578,3594,315
3,expr_loeuf,0.808205172889534,0.381169077222138,0.0876460767946578,3594,315
3,expr_loeuf_paralog,0.652457921259385,0.226109428562376,0.0876460767946578,3594,315
3,full_v1,0.89303649486632,0.519894839307833,0.0876460767946578,3594,315
4,expr_only,0.855486568024805,0.363377497022374,0.0909849749582638,3594,327
4,expr_loeuf,0.831971835863971,0.363782473818755,0.0909849749582638,3594,327
4,expr_loeuf_paralog,0.844553401684343,0.388681778523509,0.0909849749582638,3594,327
4,full_v1,0.8974959492057,0.502594186772925,0.0909849749582638,3594,327
5,expr_only,0.838775066502967,0.374977497274888,0.0934891485809683,3594,336
5,expr_loeuf,0.82097045002777,0.377402034326593,0.0934891485809683,3594,336
5,expr_loeuf_paralog,0.836807839311296,0.401723305224322,0.0934891485809683,3594,336
5,full_v1,0.884589947089948,0.494738445861669,0.0934891485809683,3594,336
