model,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_prev,n_runs
full_v1,0.887256631502356,0.00766526795458513,0.490663051978937,0.0278072021827472,0.088313856427379,5
expr_loeuf_paralog,0.801621914769478,0.0835206177988405,0.351635994875667,0.0722106297433747,0.088313856427379,5
expr_only,0.802199521577057,0.0942370676701066,0.325321437895033,0.0872089049491771,0.088313856427379,5
expr_loeuf,0.758033423415885,0.132764177430233,0.303293423066549,0.130994731507588,0.088313856427379,5
