term,beta
(Intercept),-1.72644564614997
mean_expr,0.0122589987846917
var_expr,-6.19451569322064e-06
loeuf,-0.664801787909534
log_paralog_count,-0.536490460246036
log_ppi_degree,0.729413710128843
