model,auroc,auprc,prevalence
expr_only,0.847168563893833,0.388772492246064,0.0923761825264329
expr_loeuf,0.833250940366328,0.397050855061927,0.0923761825264329
expr_loeuf_paralog,0.839494516431155,0.424258703576068,0.0923761825264329
full_v1,0.88916824028179,0.512130752612696,0.0923761825264329
