term,estimate,std_error,z,p
(Intercept),-1.88909335994165,0.0650126339039205,-29.0573269609944,1.24343067743168e-185
mean_expr,0.0237753660874105,0.000859048847002809,27.6763843760013,1.34379463186471e-168
var_expr,-1.78248826978576e-05,6.81371117053293e-07,-26.1603144772916,7.52199542004301e-151
loeuf,-0.659298329668534,0.0379172639525562,-17.3878139122453,1.02053120417722e-67
log_paralog_count,-0.563430705132197,0.0141977504623994,-39.6845054168518,0
log_ppi_degree,0.724821547621922,0.0131406205091695,55.1588524389806,0
