term,estimate,std_error,z,p
(Intercept),-1.81677316849397,0.0635728112604951,-28.5778327632796,1.26721997612534e-179
mean_expr,0.024867135991841,0.000872573770494084,28.4986058860792,1.21896703100119e-178
var_expr,-1.84333083172279e-05,7.10267006057643e-07,-25.9526462020846,1.69745006860521e-148
loeuf,-0.596108094063061,0.0371290307798825,-16.0550405314121,5.27044800422006e-58
log_paralog_count,-0.573122571089163,0.0143098740518455,-40.0508466400687,0
log_ppi_degree,0.694539023473893,0.0128225833504229,54.1652960634476,0
