seed,model,auroc,auprc,prevalence,n_test,n_pos_test
1,expr_only,0.634165831782835,0.173243248613865,0.0851419031719533,3594,306
1,expr_loeuf,0.645347311674061,0.110178537757661,0.0851419031719533,3594,306
1,expr_loeuf_paralog,0.832756865925605,0.387067986621007,0.0851419031719533,3594,306
1,full_v1,0.88015938329914,0.491134332714296,0.0851419031719533,3594,306
2,expr_only,0.846507075502462,0.331927986503925,0.0843071786310517,3594,303
2,expr_loeuf,0.807433614829134,0.321261760704635,0.0843071786310517,3594,303
2,expr_loeuf_paralog,0.843013198311655,0.356418372792243,0.0843071786310517,3594,303
2,full_v1,0.880939415728291,0.444464720354708,0.0843071786310517,3594,303
3,expr_only,0.836063066072217,0.383080960060115,0.0876460767946578,3594,315
3,expr_loeuf,0.808085120802419,0.380772259460645,0.0876460767946578,3594,315
3,expr_loeuf_paralog,0.64769601649748,0.222434591873233,0.0876460767946578,3594,315
3,full_v1,0.893145897171517,0.520323174352781,0.0876460767946578,3594,315
4,expr_only,0.855486568024805,0.363377497022374,0.0909849749582638,3594,327
4,expr_loeuf,0.832007406096925,0.363752330755365,0.0909849749582638,3594,327
4,expr_loeuf_paralog,0.844978372362293,0.389664910228903,0.0909849749582638,3594,327
4,full_v1,0.897303121100729,0.502000862325757,0.0909849749582638,3594,327
5,expr_only,0.838775066502967,0.374977497274888,0.0934891485809683,3594,336
5,expr_loeuf,0.820950352977285,0.377317164505243,0.0934891485809683,3594,336
5,expr_loeuf_paralog,0.837936928147567,0.402339753414146,0.0934891485809683,3594,336
5,full_v1,0.884484894326057,0.495201840137248,0.0934891485809683,3594,336
